DATE,SALES,CUMULATIVE_SALES_ALL,HOLIDAY,Year,Month,DayOfWeek,YearMonth,IPC_VALUE,A,FA,FM,C,CR
2015-01-21,9813617.445999997,212429630.18399996,False,2015,1,2,2015-01,-0.4,1522,0,0,0,0
2015-01-22,9711859.504,222141489.68799996,False,2015,1,3,2015-01,-0.4,1450,0,0,72,0
2015-01-23,13857337.22,235998826.90799996,False,2015,1,4,2015-01,-0.4,1513,0,0,9,0
2015-01-24,17276020.06799999,253274846.97599995,False,2015,1,5,2015-01,-0.4,1519,0,0,3,0
2015-01-25,45125.41199999998,253319972.38799995,False,2015,1,6,2015-01,-0.4,0,2,0,1518,2
2015-01-26,12052648.696000002,265372621.08399996,False,2015,1,0,2015-01,-0.4,1519,0,0,1,2
2015-01-27,10553987.28,275926608.36399996,False,2015,1,1,2015-01,-0.4,1520,0,0,0,2
2015-01-28,10002773.452,285929381.816,False,2015,1,2,2015-01,-0.4,1516,0,0,4,2
2015-01-29,10571551.154,296500932.96999997,False,2015,1,3,2015-01,-0.4,1500,0,0,21,2
2015-01-30,15231081.126000002,311732014.09599996,False,2015,1,4,2015-01,-0.4,1521,0,0,0,2
2015-01-31,19567087.78199999,331299101.87799996,False,2015,1,5,2015-01,-0.4,1521,0,0,0,2
2015-02-01,52852.07000000001,331351953.94799995,False,2015,2,6,2015-02,0.2,0,2,0,1518,3
2015-02-02,12268018.545999996,343619972.49399996,False,2015,2,0,2015-02,0.2,1465,2,9,44,3
2015-02-03,11602553.362000003,355222525.85599995,False,2015,2,1,2015-02,0.2,1507,3,0,10,3
2015-02-04,10382508.132,365605033.9879999,False,2015,2,2,2015-02,0.2,1520,0,0,0,3
2015-02-05,10907218.163999995,376512252.1519999,False,2015,2,3,2015-02,0.2,1520,0,0,0,3
2015-02-06,14696815.974,391209068.12599987,False,2015,2,4,2015-02,0.2,1519,0,0,1,3
2015-02-07,18581619.260000005,409790687.38599986,False,2015,2,5,2015-02,0.2,1519,0,0,1,3
2015-02-08,44075.111999999994,409834762.49799985,False,2015,2,6,2015-02,0.2,0,2,0,1517,4
2015-02-09,11447103.961999996,421281866.45999986,False,2015,2,0,2015-02,0.2,1517,0,0,2,4
2015-02-10,11066996.265999995,432348862.72599983,False,2015,2,1,2015-02,0.2,1519,0,0,0,4
2015-02-11,10118967.595999992,442467830.32199985,False,2015,2,2,2015-02,0.2,1517,0,0,2,4
2015-02-12,10510304.709999992,452978135.0319998,False,2015,2,3,2015-02,0.2,1511,0,0,8,4
2015-02-13,14212741.321999997,467190876.35399985,False,2015,2,4,2015-02,0.2,1516,0,0,3,4
2015-02-14,17402144.137999997,484593020.49199986,False,2015,2,5,2015-02,0.2,1518,0,1,0,4
2015-02-15,42754.34399999998,484635774.83599985,False,2015,2,6,2015-02,0.2,0,2,0,1516,5
2015-02-16,11798150.441999994,496433925.2779998,False,2015,2,0,2015-02,0.2,1511,0,1,6,5
2015-02-17,9640459.107999995,506074384.3859998,False,2015,2,1,2015-02,0.2,1416,1,3,98,5
2015-02-18,9961692.216000006,516036076.6019998,False,2015,2,2,2015-02,0.2,1509,0,0,9,5
2015-02-19,10242246.785999998,526278323.38799983,False,2015,2,3,2015-02,0.2,1516,0,0,2,5
2015-02-20,13937897.391999995,540216220.7799999,False,2015,2,4,2015-02,0.2,1516,0,0,2,5
2015-02-21,17486169.739999995,557702390.5199999,False,2015,2,5,2015-02,0.2,1514,0,1,3,5
2015-02-22,41833.04799999998,557744223.5679998,False,2015,2,6,2015-02,0.2,0,2,0,1515,6
2015-02-23,11149477.53,568893701.0979998,False,2015,2,0,2015-02,0.2,1517,0,0,0,6
2015-02-24,9971618.148000002,578865319.2459998,False,2015,2,1,2015-02,0.2,1517,0,0,0,6
2015-02-25,10614395.935999995,589479715.1819998,False,2015,2,2,2015-02,0.2,1518,0,0,0,5
2015-02-26,11492447.555999994,600972162.7379998,False,2015,2,3,2015-02,0.2,1519,0,0,0,5
2015-02-27,17269203.467999995,618241366.2059999,False,2015,2,4,2015-02,0.2,1523,0,0,0,2
2015-02-28,15311212.615999997,633552578.8219998,False,2015,2,5,2015-02,0.2,1178,0,0,345,2
2015-03-01,52943.33599999998,633605522.1579998,False,2015,3,6,2015-03,0.4,0,2,0,1521,2
2015-03-02,13879414.78199999,647484936.9399997,False,2015,3,0,2015-03,0.4,1521,0,0,3,1
2015-03-03,11980890.18,659465827.1199996,False,2015,3,1,2015-03,0.4,1520,0,0,4,1
2015-03-04,11045535.703999996,670511362.8239996,False,2015,3,2,2015-03,0.4,1524,0,0,0,1
2015-03-05,11226123.30799999,681737486.1319996,False,2015,3,3,2015-03,0.4,1502,0,0,22,1
2015-03-06,15099641.377999991,696837127.5099996,False,2015,3,4,2015-03,0.4,1524,0,0,0,1
2015-03-07,18421748.90599999,715258876.4159997,False,2015,3,5,2015-03,0.4,1523,0,0,1,1
2015-03-08,42065.94399999999,715300942.3599997,False,2015,3,6,2015-03,0.4,0,2,0,1521,2
2015-03-09,11806646.068000004,727107588.4279996,False,2015,3,0,2015-03,0.4,1508,0,0,15,2
2015-03-10,11215617.318000004,738323205.7459996,False,2015,3,1,2015-03,0.4,1523,0,0,0,2
2015-03-11,10234324.591999993,748557530.3379996,False,2015,3,2,2015-03,0.4,1521,0,0,2,2
2015-03-12,10608992.301999994,759166522.6399996,False,2015,3,3,2015-03,0.4,1523,0,0,0,2
2015-03-13,14495059.233999996,773661581.8739996,False,2015,3,4,2015-03,0.4,1523,0,0,0,2
2015-03-14,17983051.01799999,791644632.8919996,False,2015,3,5,2015-03,0.4,1524,0,0,0,1
2015-03-15,44143.40599999999,791688776.2979996,False,2015,3,6,2015-03,0.4,0,2,0,1522,1
2015-03-16,11771322.754,803460099.0519996,False,2015,3,0,2015-03,0.4,1524,0,0,0,1
2015-03-17,10641936.785999993,814102035.8379996,False,2015,3,1,2015-03,0.4,1524,0,0,0,1
2015-03-18,12017541.202,826119577.0399996,False,2015,3,2,2015-03,0.4,1521,0,0,3,1
2015-03-19,7248407.005999997,833367984.0459996,False,2015,3,3,2015-03,0.4,981,0,0,543,1
2015-03-20,14447558.34799999,847815542.3939996,False,2015,3,4,2015-03,0.4,1469,0,1,55,0
2015-03-21,17806723.525999993,865622265.9199996,False,2015,3,5,2015-03,0.4,1524,0,0,1,0
2015-03-22,42660.16399999999,865664926.0839996,False,2015,3,6,2015-03,0.4,0,2,0,1523,0
2015-03-23,11134109.29,876799035.3739996,False,2015,3,0,2015-03,0.4,1525,0,0,0,0
2015-03-24,10255483.913999995,887054519.2879996,False,2015,3,1,2015-03,0.4,1525,0,0,0,0
2015-03-25,10859547.379999995,897914066.6679996,False,2015,3,2,2015-03,0.4,1524,0,0,2,0
2015-03-26,11275369.64,909189436.3079996,False,2015,3,3,2015-03,0.4,1527,0,0,0,0
2015-03-27,14601294.973999992,923790731.2819996,False,2015,3,4,2015-03,0.4,1513,1,0,13,0
2015-03-28,19065043.92199999,942855775.2039995,False,2015,3,5,2015-03,0.4,1523,0,0,4,0
2015-03-29,43576.16399999999,942899351.3679996,False,2015,3,6,2015-03,0.4,0,2,1,1524,0
2015-03-30,13499371.387999997,956398722.7559996,False,2015,3,0,2015-03,0.4,1527,0,0,0,0
2015-03-31,13904509.375999996,970303232.1319996,False,2015,3,1,2015-03,0.4,1527,0,0,0,0
2015-04-01,19133786.931999996,989437019.0639997,False,2015,4,2,2015-04,0.4,1526,0,1,0,0
2015-04-02,10398954.956,999835974.0199996,False,2015,4,3,2015-04,0.4,502,30,462,532,1
2015-04-03,386540.84999999986,1000222514.8699996,False,2015,4,4,2015-04,0.4,0,8,56,1462,1
2015-04-04,20405467.173999995,1020627982.0439997,False,2015,4,5,2015-04,0.4,1526,0,0,0,1
2015-04-05,58417.96999999997,1020686400.0139997,False,2015,4,6,2015-04,0.4,0,3,1,1522,1
2015-04-06,9296175.582000002,1029982575.5959997,False,2015,4,0,2015-04,0.4,829,1,55,642,0
2015-04-07,14182335.047999991,1044164910.6439997,False,2015,4,1,2015-04,0.4,1489,0,0,38,0
2015-04-08,11759177.475999996,1055924088.1199996,False,2015,4,2,2015-04,0.4,1526,0,0,1,0
2015-04-09,11363331.901999995,1067287420.0219996,False,2015,4,3,2015-04,0.4,1526,0,0,1,0
2015-04-10,15301382.307999998,1082588802.3299997,False,2015,4,4,2015-04,0.4,1526,0,0,1,0
2015-04-11,19033290.291999996,1101622092.6219997,False,2015,4,5,2015-04,0.4,1527,0,0,0,0
2015-04-12,42351.038,1101664443.6599998,False,2015,4,6,2015-04,0.4,0,2,0,1525,0
2015-04-13,10716547.078000002,1112380990.738,False,2015,4,0,2015-04,0.4,1363,0,0,164,0
2015-04-14,10949259.057999998,1123330249.796,False,2015,4,1,2015-04,0.4,1523,0,1,3,0
2015-04-15,10246169.242,1133576419.038,False,2015,4,2,2015-04,0.4,1527,0,0,0,0
2015-04-16,10469314.579999998,1144045733.618,False,2015,4,3,2015-04,0.4,1509,0,0,18,0
2015-04-17,13946025.14,1157991758.7580001,False,2015,4,4,2015-04,0.4,1524,0,0,3,0
2015-04-18,17588923.5,1175580682.2580001,False,2015,4,5,2015-04,0.4,1527,0,0,0,0
2015-04-19,42745.25,1175623427.5080001,False,2015,4,6,2015-04,0.4,0,2,0,1523,1
2015-04-20,11673925.627999991,1187297353.1360002,False,2015,4,0,2015-04,0.4,1524,0,0,2,1
2015-04-21,10514886.765999995,1197812239.9020002,False,2015,4,1,2015-04,0.4,1526,0,0,0,1
2015-04-22,10200970.264,1208013210.1660001,False,2015,4,2,2015-04,0.4,1508,0,0,18,1
2015-04-23,9245246.276,1217258456.4420002,False,2015,4,3,2015-04,0.4,1418,0,0,108,1
2015-04-24,14451483.141999995,1231709939.584,False,2015,4,4,2015-04,0.4,1526,0,0,1,1
2015-04-25,17910298.635999992,1249620238.22,False,2015,4,5,2015-04,0.4,1515,0,0,12,1
2015-04-26,42760.51199999999,1249662998.732,False,2015,4,6,2015-04,0.4,0,2,0,1525,1
2015-04-27,12911334.871999994,1262574333.604,False,2015,4,0,2015-04,0.4,1512,0,0,15,1
2015-04-28,11489990.415999994,1274064324.02,False,2015,4,1,2015-04,0.4,1523,0,1,3,1
2015-04-29,12231724.78199999,1286296048.802,False,2015,4,2,2015-04,0.4,1528,0,0,0,1
2015-04-30,19705634.297999993,1306001683.1000001,False,2015,4,3,2015-04,0.4,1525,0,2,2,1
2015-05-01,19381.857999999993,1306021064.9580002,False,2015,5,4,2015-05,1.3,0,1,1,1527,1
2015-05-02,21818792.503999993,1327839857.4620001,False,2015,5,5,2015-05,1.3,1369,55,104,1,1
2015-05-03,37906.79800000001,1327877764.2600002,False,2015,5,6,2015-05,1.3,0,2,0,1526,2
2015-05-04,14072178.695999997,1341949942.9560003,False,2015,5,0,2015-05,1.3,1495,0,7,26,2
2015-05-05,12620425.167999998,1354570368.1240003,False,2015,5,1,2015-05,1.3,1525,0,2,1,2
2015-05-06,11312579.907999992,1365882948.0320003,False,2015,5,2,2015-05,1.3,1525,0,0,3,2
2015-05-07,11577705.845999992,1377460653.8780003,False,2015,5,3,2015-05,1.3,1528,0,0,0,2
2015-05-08,14938887.893999994,1392399541.7720003,False,2015,5,4,2015-05,1.3,1517,0,0,11,2
2015-05-09,18291222.011999995,1410690763.7840004,False,2015,5,5,2015-05,1.3,1523,1,2,2,2
2015-05-10,43617.302,1410734381.0860004,False,2015,5,6,2015-05,1.3,0,2,0,1526,2
2015-05-11,12902369.791999996,1423636750.8780005,False,2015,5,0,2015-05,1.3,1494,0,0,34,2
2015-05-12,11567280.559999997,1435204031.4380004,False,2015,5,1,2015-05,1.3,1527,0,1,0,2
2015-05-13,10608441.825999998,1445812473.2640004,False,2015,5,2,2015-05,1.3,1512,0,0,16,2
2015-05-14,11670347.795999996,1457482821.0600004,False,2015,5,3,2015-05,1.3,1518,0,0,11,2
2015-05-15,13801703.505999995,1471284524.5660005,False,2015,5,4,2015-05,1.3,1398,2,0,129,2
2015-05-16,17734365.89999999,1489018890.4660006,False,2015,5,5,2015-05,1.3,1525,0,1,3,2
2015-05-17,38008.734,1489056899.2000005,False,2015,5,6,2015-05,1.3,0,2,0,1527,2
2015-05-18,12389336.566,1501446235.7660005,False,2015,5,0,2015-05,1.3,1518,0,0,11,2
2015-05-19,11085118.496,1512531354.2620006,False,2015,5,1,2015-05,1.3,1528,0,0,2,2
2015-05-20,10381357.189999998,1522912711.4520006,False,2015,5,2,2015-05,1.3,1526,0,0,4,2
2015-05-21,10783521.802,1533696233.2540007,False,2015,5,3,2015-05,1.3,1529,0,0,2,2
2015-05-22,14213256.705999993,1547909489.9600008,False,2015,5,4,2015-05,1.3,1526,0,0,5,2
2015-05-23,17633547.459999993,1565543037.4200008,False,2015,5,5,2015-05,1.3,1531,0,0,0,2
2015-05-24,39718.57999999999,1565582756.0000007,False,2015,5,6,2015-05,1.3,0,2,0,1528,2
2015-05-25,12620657.764,1578203413.7640007,False,2015,5,0,2015-05,1.3,1497,1,0,33,2
2015-05-26,11628440.898000002,1589831854.6620007,False,2015,5,1,2015-05,1.3,1523,1,0,7,2
2015-05-27,10877380.177999996,1600709234.8400006,False,2015,5,2,2015-05,1.3,1531,0,0,0,2
2015-05-28,11545472.15,1612254706.9900007,False,2015,5,3,2015-05,1.3,1532,0,0,1,1
2015-05-29,15802249.221999988,1628056956.2120006,False,2015,5,4,2015-05,1.3,1529,1,0,5,1
2015-05-30,19133530.711999997,1647190486.9240005,False,2015,5,5,2015-05,1.3,1454,4,77,0,1
2015-05-31,47247.77599999998,1647237734.7000005,False,2015,5,6,2015-05,1.3,0,2,0,1533,1
2015-06-01,13713692.005999995,1660951426.7060006,False,2015,6,0,2015-06,1.8,1450,1,1,83,1
2015-06-02,12918542.857999995,1673869969.5640006,False,2015,6,1,2015-06,1.8,1535,0,0,1,0
2015-06-03,12588383.519999996,1686458353.0840006,False,2015,6,2,2015-06,1.8,1535,0,0,1,0
2015-06-04,9863976.18,1696322329.2640007,False,2015,6,3,2015-06,1.8,1254,0,0,282,0
2015-06-05,16061461.332000002,1712383790.5960007,False,2015,6,4,2015-06,1.8,1527,0,2,7,0
2015-06-06,18985506.994000003,1731369297.5900006,False,2015,6,5,2015-06,1.8,1536,0,0,0,0
2015-06-07,40680.984,1731409978.5740006,False,2015,6,6,2015-06,1.8,0,2,0,1534,0
2015-06-08,13261912.319999993,1744671890.8940005,False,2015,6,0,2015-06,1.8,1528,0,0,8,0
2015-06-09,11147701.245999992,1755819592.1400006,False,2015,6,1,2015-06,1.8,1463,0,0,73,0
2015-06-10,11669543.89,1767489136.0300007,False,2015,6,2,2015-06,1.8,1533,0,0,3,0
2015-06-11,11486721.115999997,1778975857.1460006,False,2015,6,3,2015-06,1.8,1514,0,2,20,0
2015-06-12,14418612.590000004,1793394469.7360005,False,2015,6,4,2015-06,1.8,1512,1,0,23,0
2015-06-13,18137960.208000004,1811532429.9440005,False,2015,6,5,2015-06,1.8,1530,0,2,4,0
2015-06-14,41699.409999999974,1811574129.3540006,False,2015,6,6,2015-06,1.8,0,2,0,1534,0
2015-06-15,12563409.473999992,1824137538.8280005,False,2015,6,0,2015-06,1.8,1524,0,0,12,0
2015-06-16,11222964.071999997,1835360502.9000006,False,2015,6,1,2015-06,1.8,1533,0,0,3,0
2015-06-17,10506146.825999998,1845866649.7260005,False,2015,6,2,2015-06,1.8,1534,0,0,2,0
2015-06-18,11029507.835999995,1856896157.5620005,False,2015,6,3,2015-06,1.8,1536,0,0,0,0
2015-06-19,14039355.235999994,1870935512.7980006,False,2015,6,4,2015-06,1.8,1536,0,0,1,0
2015-06-20,18215869.28199999,1889151382.0800006,False,2015,6,5,2015-06,1.8,1537,0,0,0,0
2015-06-21,46710.667999999976,1889198092.7480006,False,2015,6,6,2015-06,1.8,0,2,1,1534,0
2015-06-22,13504302.037999997,1902702394.7860007,False,2015,6,0,2015-06,1.8,1530,0,1,6,0
2015-06-23,12759777.093999997,1915462171.8800008,False,2015,6,1,2015-06,1.8,1530,0,1,6,0
2015-06-24,8211094.139999997,1923673266.020001,False,2015,6,2,2015-06,1.8,1169,1,1,366,0
2015-06-25,12758183.746,1936431449.766001,False,2015,6,3,2015-06,1.8,1527,0,0,10,0
2015-06-26,15692333.049999995,1952123782.816001,False,2015,6,4,2015-06,1.8,1535,0,0,2,0
2015-06-27,18980075.585999995,1971103858.402001,False,2015,6,5,2015-06,1.8,1537,0,0,0,0
2015-06-28,49644.33599999998,1971153502.7380009,False,2015,6,6,2015-06,1.8,0,2,1,1534,0
2015-06-29,13577089.636,1984730592.3740008,False,2015,6,0,2015-06,1.8,1460,1,8,68,0
2015-06-30,13354829.663999995,1998085422.0380008,False,2015,6,1,2015-06,1.8,1535,0,0,3,0
2015-07-01,13202583.46,2011288005.4980009,False,2015,7,2,2015-07,1.4,1537,0,0,1,0
2015-07-02,13238055.787999997,2024526061.286001,False,2015,7,3,2015-07,1.4,1536,0,0,2,0
2015-07-03,15838902.206,2040364963.492001,False,2015,7,4,2015-07,1.4,1539,0,0,1,0
2015-07-04,19291989.909999996,2059656953.4020011,False,2015,7,5,2015-07,1.4,1540,0,0,0,0
2015-07-05,106892.38199999998,2059763845.784001,False,2015,7,6,2015-07,1.4,0,11,3,1526,0
2015-07-06,14037961.579999998,2073801807.364001,False,2015,7,0,2015-07,1.4,1524,0,0,16,0
2015-07-07,12426284.371999994,2086228091.736001,False,2015,7,1,2015-07,1.4,1532,0,0,8,0
2015-07-08,11714562.611999996,2097942654.348001,False,2015,7,2,2015-07,1.4,1536,0,0,4,0
2015-07-09,11868347.443999998,2109811001.792001,False,2015,7,3,2015-07,1.4,1537,0,1,2,0
2015-07-10,15338098.773999996,2125149100.566001,False,2015,7,4,2015-07,1.4,1538,0,0,2,0
2015-07-11,18233237.30399999,2143382337.8700008,False,2015,7,5,2015-07,1.4,1532,0,3,5,0
2015-07-12,66472.288,2143448810.158001,False,2015,7,6,2015-07,1.4,0,2,5,1531,2
2015-07-13,13796196.021999992,2157245006.180001,False,2015,7,0,2015-07,1.4,1531,0,0,7,2
2015-07-14,12040259.669999994,2169285265.850001,False,2015,7,1,2015-07,1.4,1533,1,0,4,2
2015-07-15,11695379.005999995,2180980644.856001,False,2015,7,2,2015-07,1.4,1538,0,0,0,2
2015-07-16,11738749.769999996,2192719394.626001,False,2015,7,3,2015-07,1.4,1466,1,19,52,2
2015-07-17,15041281.465999998,2207760676.092001,False,2015,7,4,2015-07,1.4,1526,0,3,9,2
2015-07-18,17825113.812000006,2225585789.9040008,False,2015,7,5,2015-07,1.4,1536,0,0,2,2
2015-07-19,219269.3459999999,2225805059.250001,False,2015,7,6,2015-07,1.4,0,3,34,1500,3
2015-07-20,13742622.038000004,2239547681.288001,False,2015,7,0,2015-07,1.4,1528,0,0,9,3
2015-07-21,12037656.389999991,2251585337.678001,False,2015,7,1,2015-07,1.4,1537,0,0,0,3
2015-07-22,11191652.839999996,2262776990.518001,False,2015,7,2,2015-07,1.4,1531,1,1,4,3
2015-07-23,11548466.316,2274325456.834001,False,2015,7,3,2015-07,1.4,1528,1,0,8,3
2015-07-24,14757784.739999996,2289083241.574001,False,2015,7,4,2015-07,1.4,1525,2,1,11,3
2015-07-25,17118782.94399999,2306202024.5180006,False,2015,7,5,2015-07,1.4,1451,6,18,64,3
2015-07-26,248580.72399999993,2306450605.2420006,False,2015,7,6,2015-07,1.4,0,2,34,1501,5
2015-07-27,14233672.461999996,2320684277.7040005,False,2015,7,0,2015-07,1.4,1513,1,5,18,5
2015-07-28,12266350.298,2332950628.0020003,False,2015,7,1,2015-07,1.4,1536,0,0,1,5
2015-07-29,11634419.746,2344585047.748,False,2015,7,2,2015-07,1.4,1533,0,0,4,5
2015-07-30,12410137.57,2356995185.3180003,False,2015,7,3,2015-07,1.4,1523,2,0,12,5
2015-07-31,15844985.173999997,2372840170.492,False,2015,7,4,2015-07,1.4,1534,0,0,4,5
2015-08-01,20311225.323999982,2393151395.816,False,2015,8,5,2015-08,1.9,1533,0,4,1,5
2015-08-02,364617.4639999999,2393516013.28,False,2015,8,6,2015-08,1.9,0,2,40,1494,7
2015-08-03,15964122.343999997,2409480135.624,False,2015,8,0,2015-08,1.9,1524,1,0,11,7
2015-08-04,13392024.619999995,2422872160.244,False,2015,8,1,2015-08,1.9,1536,0,0,0,7
2015-08-05,12108043.564000005,2434980203.808,False,2015,8,2,2015-08,1.9,1512,0,4,20,7
2015-08-06,12392381.595999992,2447372585.4040003,False,2015,8,3,2015-08,1.9,1521,0,0,15,7
2015-08-07,14718896.455999993,2462091481.86,False,2015,8,4,2015-08,1.9,1534,0,0,2,7
2015-08-08,17579928.082000002,2479671409.942,False,2015,8,5,2015-08,1.9,1534,0,1,1,7
2015-08-09,353815.8559999999,2480025225.798,False,2015,8,6,2015-08,1.9,0,2,39,1493,9
2015-08-10,15017752.5,2495042978.298,False,2015,8,0,2015-08,1.9,1523,1,2,8,9
2015-08-11,12734987.334,2507777965.632,False,2015,8,1,2015-08,1.9,1534,0,0,0,9
2015-08-12,11871363.785999998,2519649329.4179997,False,2015,8,2,2015-08,1.9,1534,0,0,0,9
2015-08-13,12706732.005999995,2532356061.424,False,2015,8,3,2015-08,1.9,1532,0,0,2,9
2015-08-14,17400568.988000005,2549756630.4119997,False,2015,8,4,2015-08,1.9,1520,2,4,8,9
2015-08-15,7291660.456,2557048290.8679996,False,2015,8,5,2015-08,1.9,0,159,743,632,9
2015-08-16,465844.8459999999,2557514135.7139997,False,2015,8,6,2015-08,1.9,0,5,52,1477,9
2015-08-17,17231527.266000003,2574745662.9799995,False,2015,8,0,2015-08,1.9,1507,2,3,22,9
2015-08-18,12994483.386,2587740146.3659997,False,2015,8,1,2015-08,1.9,1530,0,0,4,9
2015-08-19,11162055.093999997,2598902201.4599996,False,2015,8,2,2015-08,1.9,1499,0,0,35,9
2015-08-20,11530368.546000004,2610432570.0059996,False,2015,8,3,2015-08,1.9,1532,0,0,2,9
2015-08-21,13834428.722000005,2624266998.7279997,False,2015,8,4,2015-08,1.9,1521,0,4,9,9
2015-08-22,16180776.648000002,2640447775.3759995,False,2015,8,5,2015-08,1.9,1528,0,0,6,9
2015-08-23,204939.716,2640652715.0919995,False,2015,8,6,2015-08,1.9,0,2,24,1508,9
2015-08-24,13986756.632,2654639471.7239995,False,2015,8,0,2015-08,1.9,1510,4,3,17,9
2015-08-25,12494610.531999998,2667134082.2559996,False,2015,8,1,2015-08,1.9,1531,0,0,5,7
2015-08-26,11541508.431999996,2678675590.6879997,False,2015,8,2,2015-08,1.9,1535,0,0,1,7
2015-08-27,11773004.037999997,2690448594.726,False,2015,8,3,2015-08,1.9,1537,0,0,1,5
2015-08-28,14415988.996,2704864583.7219996,False,2015,8,4,2015-08,1.9,1522,0,0,16,5
2015-08-29,17176314.28,2722040898.002,False,2015,8,5,2015-08,1.9,1528,0,0,10,5
2015-08-30,77076.082,2722117974.0839996,False,2015,8,6,2015-08,1.9,0,2,7,1528,6
2015-08-31,15612838.155999996,2737730812.24,False,2015,8,0,2015-08,1.9,1513,1,1,26,2
2015-09-01,13779082.441999994,2751509894.6819997,False,2015,9,1,2015-09,1.8,1527,1,0,13,2
2015-09-02,12388314.979999997,2763898209.6619997,False,2015,9,2,2015-09,1.8,1534,0,0,7,2
2015-09-03,12342335.21599999,2776240544.878,False,2015,9,3,2015-09,1.8,1536,0,1,5,2
2015-09-04,14661870.71,2790902415.588,False,2015,9,4,2015-09,1.8,1533,0,0,9,2
2015-09-05,18318736.264,2809221151.8519998,False,2015,9,5,2015-09,1.8,1540,0,0,2,2
2015-09-06,61480.34,2809282632.192,False,2015,9,6,2015-09,1.8,0,2,3,1536,3
2015-09-07,13940863.952,2823223496.144,False,2015,9,0,2015-09,1.8,1498,2,4,37,3
2015-09-08,9749868.465999998,2832973364.61,False,2015,9,1,2015-09,1.8,1230,1,3,307,3
2015-09-09,11811023.044,2844784387.6540003,False,2015,9,2,2015-09,1.8,1524,1,2,14,3
2015-09-10,13210949.292000003,2857995336.946,False,2015,9,3,2015-09,1.8,1532,0,1,8,3
2015-09-11,12280176.673999997,2870275513.62,False,2015,9,4,2015-09,1.8,1288,1,1,252,2
2015-09-12,18526405.514,2888801919.134,False,2015,9,5,2015-09,1.8,1530,0,6,6,2
2015-09-13,47438.23999999999,2888849357.3739996,False,2015,9,6,2015-09,1.8,0,2,1,1539,2
2015-09-14,13400013.829999998,2902249371.2039995,False,2015,9,0,2015-09,1.8,1492,0,0,50,2
2015-09-15,11303000.599999994,2913552371.8039994,False,2015,9,1,2015-09,1.8,1502,0,2,39,2
2015-09-16,10972576.383999996,2924524948.1879992,False,2015,9,2,2015-09,1.8,1540,0,0,3,2
2015-09-17,11190943.294,2935715891.4819994,False,2015,9,3,2015-09,1.8,1541,0,0,2,2
2015-09-18,14115249.574,2949831141.0559993,False,2015,9,4,2015-09,1.8,1526,1,0,16,2
2015-09-19,17685709.08399999,2967516850.1399994,False,2015,9,5,2015-09,1.8,1542,0,0,1,2
2015-09-20,40852.351999999984,2967557702.4919996,False,2015,9,6,2015-09,1.8,0,2,0,1540,2
2015-09-21,12311395.869999995,2979869098.3619995,False,2015,9,0,2015-09,1.8,1499,2,0,41,2
2015-09-22,11038224.6,2990907322.9619994,False,2015,9,1,2015-09,1.8,1540,0,0,3,2
2015-09-23,10460773.795999996,3001368096.7579994,False,2015,9,2,2015-09,1.8,1533,0,0,10,2
2015-09-24,10337208.32,3011705305.0779996,False,2015,9,3,2015-09,1.8,1473,0,0,70,2
